review_id,product_category,timestamp,country,rating,review,sentiment,date,year,month,month_name,weekday,hour,review_length,cleaned_review,language,word_count,character_count,sentence_count,avg_word_length,sentiment_driver,rating_group,review_density,weekend,long_review,target,prediction
REV-DB73D536,Sports,2024-09-17 13:16:22+00:00,GB,1,"I have no interest in signing up to Amazon Prime, When making a purchase, despite clicking the button not to sign me up, I could not stop Amazon from providing a 30 day free trial. I followed the instructions to remove the trial without success as the instructions took me to a page where there was no evident way to proceed with the cancellation. ",Negative,2024-09-17,2024,9,September,Tuesday,13,64,interest signing amazon prime making purchase despite clicking button sign could stop amazon providing day free trial followed instruction remove trial without success instruction took page evident way proceed cancellation,en,30,222,2,7.4,Other,Low,15.0,0,0,0,Neutral
REV-8DAA83D6,Home & Living,2024-09-13 14:37:36+00:00,GB,4,"Often buy through Amazon and never really have any problem . Have had drivers leave parcel at front door in full view of the road and then return to van without even knocking or ringing the bell. but still surprised at all of the negative reviews.My complaint with my recent order is the fact it did not come in ANY packaging.Trainers for my adult son arrived with NO packaging at all, just in their shoe box which was not even taped down.The lid was actually open.I had left a note on door to say please leave over gate if I’m out, so glad I was back home as it was pouring with rain and would have had sodden box and shoes.Guess this is down to the seller.",Positive,2024-09-13,2024,9,September,Friday,14,127,often buy amazon never really problem driver leave parcel front door full view road return van without even knocking ringing bell still surprised negative reviewsmy complaint recent order fact come packagingtrainers adult son arrived packaging shoe box even taped downthe lid actually openi left note door say please leave gate ’ glad back home pouring rain would sodden box shoesguess seller,en,61,392,3,6.426229508196721,Delivery,High,20.33333333333333,0,1,2,Negative
REV-1DFFA986,Fashion,2024-09-07 07:39:18+00:00,GB,2,"I have been a Prime member since 2016. In the years, the service has increased in price. Something else I noticed since lockdown: I can find most items I buy on Amazon cheaper elsewhere even when I include shipping. The only advantage Prime has is the speed of delivery (most of the time I can get it next day) pretty soon, it won’t be worth it: Disappointed. ",Negative,2024-09-07,2024,9,September,Saturday,7,67,prime member since year service increased price something else noticed since lockdown find item buy amazon cheaper elsewhere even include shipping advantage prime speed delivery time get next day pretty soon ’ worth disappointed,en,34,228,4,6.705882352941177,Delivery,Low,8.5,1,0,0,Neutral
REV-9432DE56,Sports,2024-09-14 22:44:16+00:00,CA,1,"I didn’t get my 10 items order from Amazon last year till today,Are they become scammers?",Negative,2024-09-14,2024,9,September,Saturday,22,16,’ get item order amazon last year till todayare become scammer,en,11,62,1,5.636363636363637,Other,Low,11.0,1,0,0,Positive
REV-540AB0A1,Food & Grocery,2024-09-14 16:09:55+00:00,GB,4,I gave 4 stars because the majority of drivers are kind and helpful deserving  5 stars but 2% let the the other drivers and the company down when it  comes to the elderly we seem to speak another language they don’t understand us when one off these drivers came yesterday afternoon with order number 204-5796960-3400326 he rang the door entry bell I said bring it up please the address is first floor flat and he translates into leave it downstairs he even had a invisible receptionist sign for it because I certainly didn’t ,Positive,2024-09-14,2024,9,September,Saturday,16,93,gave star majority driver kind helpful deserving star let driver company come elderly seem speak another language ’ understand u one driver came yesterday afternoon order number rang door entry bell said bring please address first floor flat translates leave downstairs even invisible receptionist sign certainly ’,en,47,314,1,6.680851063829787,Delivery,High,47.0,1,0,2,Negative
REV-D0E47AC5,Electronics,2024-09-05 19:31:23+00:00,US,1,"I used to like Amazon a lot, in their early years they couldn't be beat because of their quality of service, but things have really changed in my opinion, and they keep getting worse.For the 3rd time this year I've had an order get delayed.  I understand that that's part of mail-ordering... but there's always somethings that are ""hinky"" about the delays. For instance, I received a confirmation 20 hours ago that the items had just shipped and that I could expect them today. Just now, I received a delay notice that it ""should"" arrive in 5 days. (How did it get delayed overnight?) And the other delays were similarly nonsensical.I've worked in shipping & receiving positions a lot, in my career days, so I get that odd things can happen, in fact odd can be rather normal in the ""business"". So, I'm unconvinced that the reasons behind any of my recent delayed shipments were the ""normal sort of odd"".The thing with Amazon and their sellers is that there's a rather long waiting period when an item gets delayed before they'll consider it lost and grant a refund or whatever. Also, they don't take the loss/delay seriously like they used to do back in the day. And to add to that, there's really no place on the Amazon site to comment about their site (as if they care about the customer) ... I've always hated looking at the reviews about an item, only to read about shipping issues... now I understand why.So, a month or so ago, I quit Amazon Prime because paying for better shipping privileges when the shipping services were cruddy didn't make sense. But what am I to do when I want to quit this corporate juggernaut that we've built... they pretty much own the market.",Negative,2024-09-05,2024,9,September,Thursday,19,299,used like amazon lot early year couldnt beat quality service thing really changed opinion keep getting worsefor rd time year ive order get delayed understand thats part mailordering there always somethings hinky delay instance received confirmation hour ago item shipped could expect today received delay notice arrive day get delayed overnight delay similarly nonsensicalive worked shipping receiving position lot career day get odd thing happen fact odd rather normal business im unconvinced reason behind recent delayed shipment normal sort oddthe thing amazon seller there rather long waiting period item get delayed theyll consider lost grant refund whatever also dont take lossdelay seriously like used back day add there really place amazon site comment site care customer ive always hated looking review item read shipping issue understand whyso month ago quit amazon prime paying better shipping privilege shipping service cruddy didnt make sense want quit corporate juggernaut weve built pretty much market,en,151,1016,11,6.728476821192053,Delivery,Low,13.727272727272728,0,1,0,Neutral
REV-ACB9FB65,Food & Grocery,2024-09-13 12:59:05+00:00,GB,1,Review text not found,Negative,2024-09-13,2024,9,September,Friday,12,4,review text found,en,3,17,1,5.666666666666667,Other,Low,3.0,0,0,0,Neutral
REV-4351F6B9,Sports,2024-09-08 13:35:25+00:00,IN,1,Review text not found,Negative,2024-09-08,2024,9,September,Sunday,13,4,review text found,en,3,17,1,5.666666666666667,Other,Low,3.0,1,0,0,Neutral
REV-CA1B1E86,Electronics,2024-09-12 21:12:44+00:00,US,2,Review text not found,Negative,2024-09-12,2024,9,September,Thursday,21,4,review text found,en,3,17,1,5.666666666666667,Other,Low,3.0,0,0,0,Neutral
REV-BE50FBF2,Fashion,2024-09-10 16:39:40+00:00,GB,4,"Sometimes things are cheap, sometimes expensive, Courier attitude is average.",Positive,2024-09-10,2024,9,September,Tuesday,16,10,sometimes thing cheap sometimes expensive courier attitude average,en,8,66,1,8.25,Price,High,8.0,0,0,2,Neutral
